Id,WebName,FirstName,SecondName,DreamTeam,SelectedBy,Position,Team,FixtureWeek1,Opponent1,HomeAway1,FixtureWeek2,Opponent2,HomeAway2,FixtureWeek3,Opponent3,HomeAway3,GameWeek,Points,Cost,NetTransfers,MinutesPlayed,Goals,Assists,CleanSheet,Bonus,YellowCards,RedCards,GoalsConceded,Crosses,BigChancesCreated,ClearancesBlocksIntercepts,Recoveries,KeyPasses,Tackles,AttemptedPasses,PassesCompleted,BigChancesMissed,ErrorsToGoal,ErrorsToGoalAttempt,Tackled,Offside,Fouls,Dribbles
1,Ospina,David,Ospina,FALSE,0.2,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,32,6,48,-13,90,0,0,1,0,0,0,0,0,0,0,12,0,0,31,21,0,0,0,0,0,0,0
1,Ospina,David,Ospina,FALSE,0.2,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,33,0,48,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Cech,Petr,Cech,FALSE,4.5,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,1,1,55,0,90,0,0,0,0,0,0,3,0,0,0,4,0,1,20,16,0,0,0,0,0,0,0
2,Cech,Petr,Cech,FALSE,4.5,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,2,3,55,-12409,90,0,0,0,0,0,0,1,0,0,1,7,0,0,18,16,0,0,0,0,0,0,0
2,Cech,Petr,Cech,FALSE,4.5,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,3,2,55,-18456,90,0,0,0,0,0,0,4,0,0,4,10,0,0,18,12,0,0,0,0,0,0,0
2,Cech,Petr,Cech,FALSE,4.5,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,4,6,55,-14720,90,0,0,1,0,0,0,0,0,0,0,6,0,0,32,16,0,0,0,0,0,0,1
2,Cech,Petr,Cech,FALSE,4.5,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,5,10,55,-8113,90,0,0,1,3,0,0,0,0,0,1,12,0,0,30,18,0,0,0,0,0,0,0
2,Cech,Petr,Cech,FALSE,4.5,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,6,6,55,1650,90,0,0,1,0,0,0,0,0,0,1,10,0,0,20,16,0,0,0,0,0,0,0
2,Cech,Petr,Cech,FALSE,4.5,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,7,6,55,3690,90,0,0,1,0,0,0,0,0,0,5,9,0,0,19,12,0,0,0,0,0,0,0
2,Cech,Petr,Cech,FALSE,4.5,Goalkeeper,Arsenal,Gameweek 34,Newcastle,FALSE,Gameweek 35,West Ham,TRUE,Gameweek 36,Man Utd,FALSE,8,1,55,-1660,90,0,0,0,0,0,0,2,0,0,1,10,0,0,27,12,0,0,0,0,0,0,0
